Frankfurt International Airport,프랑크푸르트 국제공항,FRA,EDDF,유럽,Europe/Berlin,Germany,독일,Frankfurt,50.033333,8.570556
Munster Osnabruck International Airport,먼스토 오스나브룩 국제공항,FMO,EDDG,유럽,Europe/Berlin,Germany,독일,Muenster,52.13460159,7.684830189
Fuhlsbuettel Airport,풀쉬비텔 공항,HAM,EDDH,유럽,Europe/Berlin,Germany,독일,Hamburg,53.63040161,9.988229752
Cologne Bonn Airport,쾰른 본 공항,CGN,EDDK,유럽,Europe/Berlin,Germany,독일,Cologne,50.86589813,7.142739773
Rhein-Ruhr Airport,라인 루르 공항,DUS,EDDL,유럽,Europe/Berlin,Germany,독일,Dusseldorf,51.289501,6.76678
Munich International Airport,뮌헨 국제공항,MUC,EDDM,유럽,Europe/Berlin,Germany,독일,Munich,48.353802,11.7861
Nuremberg Airport,뉘른베르크 공항,NUE,EDDN,유럽,Europe/Berlin,Germany,독일,Nuremberg,49.498699,11.078056
Leipzig/Halle Airport,라이프치히/할레 지역공항,LEJ,EDDP,유럽,Europe/Berlin,Germany,독일,Leipzig,51.423889,12.236389
Ensheim Airport,안사임 공항,SCN,EDDR,유럽,Europe/Berlin,Germany,독일,Saarbruecken,49.21459961,7.109509945
Echterdingen Airport,에흐테르뎅겐 공항,STR,EDDS,유럽,Europe/Berlin,Germany,독일,Stuttgart,48.68989944,9.221960068
Tegel International Airport,테겔 국제공항,TXL,EDDT,유럽,Europe/Berlin,Germany,독일,Berlin,52.5597,13.2877
Hanover / Langenhagen International Airport,하노버 랭젠히겐 국제공항,HAJ,EDDV,유럽,Europe/Berlin,Germany,독일,Hanover,52.46110153,9.685079575
Bremen Airport,브레멘 공항,BRE,EDDW,유럽,Europe/Berlin,Germany,독일,Bremen,53.04750061,8.786669731
Hahn Airport,한 공항,HHN,EDFH,유럽,Europe/Berlin,Germany,독일,Hahn,49.9487,7.26389
Paderborn Lippstadt Airport,페더브른 리프슈타트 공항,PAD,EDLP,유럽,Europe/Berlin,Germany,독일,Lippstadt,51.61410141,8.616319656
Dortmund Airport,도르트문트 공항,DTM,EDLW,유럽,Europe/Berlin,Germany,독일,Dortmund,51.5182991,7.612239838
Friedrichshafen Airport,프리드리히스하펜 공항,FDH,EDNY,유럽,Europe/Berlin,Germany,독일,Friedrichshafen,47.67129898,9.511489868
Lennart Meri Tallinn Airport,레나르 메리 탈린 공항,TLL,EETN,유럽,Europe/Tallinn,Estonia,에스토니아,Tallinn,59.41329956,24.83279991
Enontekio Airport,에논테키외 공항,ENF,EFET,유럽,Europe/Helsinki,Finland,핀란드,Enontekio,68.36260223,23.42429924
Halli Airport,할리 공항,KEV,EFHA,유럽,Europe/Helsinki,Finland,핀란드,Halli,61.856039,24.786686
